ItemID,Boss Name
2169,Glubtok
5195,Glubtok
65163,Glubtok
63467,Glubtok
5444,Glubtok
63468,Glubtok
63470,Glubtok
63471,Glubtok
5200,Helix Gearbreaker
63473,Helix Gearbreaker
63474,Helix Gearbreaker
5443,Helix Gearbreaker
63475,Helix Gearbreaker
63476,Helix Gearbreaker
5191,Helix Gearbreaker
65164,Helix Gearbreaker
5199,Helix Gearbreaker
5201,Foe Reaper 5000
1937,Foe Reaper 5000
5187,Foe Reaper 5000
65165,Foe Reaper 5000
65166,Foe Reaper 5000
65167,Foe Reaper 5000
872,Admiral Ripsnarl
65168,Admiral Ripsnarl
65169,Admiral Ripsnarl
65170,Admiral Ripsnarl
1156,Admiral Ripsnarl
5196,Admiral Ripsnarl
5202,"""Captain"" Cookie"
65171,"""Captain"" Cookie"
65172,"""Captain"" Cookie"
65173,"""Captain"" Cookie"
65174,"""Captain"" Cookie"
5192,"""Captain"" Cookie"
5193,"""Captain"" Cookie"
65177,"""Captain"" Cookie"
5197,"""Captain"" Cookie"
5198,"""Captain"" Cookie"
63478,Vanessa VanCleef
63479,Vanessa VanCleef
65178,Vanessa VanCleef
63482,Vanessa VanCleef
63483,Vanessa VanCleef
63484,Vanessa VanCleef
63485,Vanessa VanCleef
63486,Vanessa VanCleef
63433,Baron Ashbury
6314,Baron Ashbury
63434,Baron Ashbury
6323,Baron Ashbury
63435,Baron Ashbury
6324,Baron Ashbury
63436,Baron Ashbury
63437,Baron Ashbury
63440,Baron Silverlaine
6321,Baron Silverlaine
63441,Baron Silverlaine
63444,Baron Silverlaine
5254,Baron Silverlaine
5943,Baron Silverlaine
63438,Baron Silverlaine
6319,Baron Silverlaine
63439,Baron Silverlaine
6320,Commander Springvale
63448,Commander Springvale
63449,Commander Springvale
63445,Commander Springvale
63446,Commander Springvale
3191,Commander Springvale
63447,Commander Springvale
6642,Lord Walden
6341,Lord Walden
63450,Lord Walden
1292,Lord Walden
63452,Lord Walden
63453,Lord Walden
3230,Lord Walden
63454,Lord Walden
63455,Lord Walden
63456,Lord Godfrey
6641,Lord Godfrey
63457,Lord Godfrey
63458,Lord Godfrey
63459,Lord Godfrey
3748,Lord Godfrey
63461,Lord Godfrey
63462,Lord Godfrey
63463,Lord Godfrey
63464,Lord Godfrey
63465,Lord Godfrey
6220,Lord Godfrey
6318,Lord Godfrey
55201,Lady Naz'jar
55202,Lady Naz'jar
55203,Lady Naz'jar
56266,Lady Naz'jar
56267,Lady Naz'jar
55195,Lady Naz'jar
56268,Lady Naz'jar
56269,Lady Naz'jar
56270,Lady Naz'jar
55198,Lady Naz'jar
56272,"Commander Ulthok, the Festering Prince"
56273,"Commander Ulthok, the Festering Prince"
56274,"Commander Ulthok, the Festering Prince"
56275,"Commander Ulthok, the Festering Prince"
55204,"Commander Ulthok, the Festering Prince"
55205,"Commander Ulthok, the Festering Prince"
55206,"Commander Ulthok, the Festering Prince"
55207,"Commander Ulthok, the Festering Prince"
55228,"Commander Ulthok, the Festering Prince"
56271,"Commander Ulthok, the Festering Prince"
55235,Mindbender Ghur'sha
55236,Mindbender Ghur'sha
56276,Mindbender Ghur'sha
55237,Mindbender Ghur'sha
56277,Mindbender Ghur'sha
56278,Mindbender Ghur'sha
56280,Mindbender Ghur'sha
55229,Mindbender Ghur'sha
56288,Ozumat
56289,Ozumat
56290,Ozumat
56291,Ozumat
55249,Ozumat
55250,Ozumat
55251,Ozumat
55252,Ozumat
55253,Ozumat
55254,Ozumat
55255,Ozumat
55256,Ozumat
56281,Ozumat
55258,Ozumat
56282,Ozumat
55259,Ozumat
56283,Ozumat
56284,Ozumat
56285,Ozumat
56286,Ozumat
55776,Rom'ogg Bonecrusher
55777,Rom'ogg Bonecrusher
55778,Rom'ogg Bonecrusher
56310,Rom'ogg Bonecrusher
56311,Rom'ogg Bonecrusher
56312,Rom'ogg Bonecrusher
56313,Rom'ogg Bonecrusher
56314,Rom'ogg Bonecrusher
55278,Rom'ogg Bonecrusher
55279,Rom'ogg Bonecrusher
55264,"Corla, Herald of Twilight"
55265,"Corla, Herald of Twilight"
55266,"Corla, Herald of Twilight"
55267,"Corla, Herald of Twilight"
56295,"Corla, Herald of Twilight"
56296,"Corla, Herald of Twilight"
56297,"Corla, Herald of Twilight"
56298,"Corla, Herald of Twilight"
56299,"Corla, Herald of Twilight"
55263,"Corla, Herald of Twilight"
56304,Karsh Steelbender
55268,Karsh Steelbender
55269,Karsh Steelbender
55270,Karsh Steelbender
55271,Karsh Steelbender
55272,Karsh Steelbender
56300,Karsh Steelbender
56301,Karsh Steelbender
56302,Karsh Steelbender
56303,Karsh Steelbender
56305,Beauty
56306,Beauty
56307,Beauty
56308,Beauty
56309,Beauty
55273,Beauty
55274,Beauty
55275,Beauty
55276,Beauty
55277,Beauty
56320,Ascendant Lord Obsidius
56321,Ascendant Lord Obsidius
56322,Ascendant Lord Obsidius
55779,Ascendant Lord Obsidius
56323,Ascendant Lord Obsidius
55780,Ascendant Lord Obsidius
56324,Ascendant Lord Obsidius
55781,Ascendant Lord Obsidius
55782,Ascendant Lord Obsidius
55784,Ascendant Lord Obsidius
55785,Ascendant Lord Obsidius
55786,Ascendant Lord Obsidius
55787,Ascendant Lord Obsidius
55788,Ascendant Lord Obsidius
56315,Ascendant Lord Obsidius
56317,Ascendant Lord Obsidius
56318,Ascendant Lord Obsidius
56319,Ascendant Lord Obsidius
55792,Corborus
55793,Corborus
55794,Corborus
55795,Corborus
55796,Corborus
56328,Corborus
56329,Corborus
56330,Corborus
56331,Corborus
56332,Corborus
56336,Slabhide
63043,Slabhide
55797,Slabhide
55798,Slabhide
55799,Slabhide
55801,Slabhide
56333,Slabhide
56334,Slabhide
56335,Slabhide
55810,Ozruk
56338,Ozruk
55811,Ozruk
56339,Ozruk
56340,Ozruk
56341,Ozruk
56342,Ozruk
55802,Ozruk
55803,Ozruk
55804,Ozruk
56352,High Priestess Azil
55812,High Priestess Azil
55813,High Priestess Azil
55814,High Priestess Azil
55815,High Priestess Azil
55816,High Priestess Azil
55817,High Priestess Azil
55818,High Priestess Azil
55819,High Priestess Azil
55820,High Priestess Azil
56343,High Priestess Azil
56344,High Priestess Azil
56345,High Priestess Azil
56346,High Priestess Azil
56347,High Priestess Azil
56348,High Priestess Azil
56349,High Priestess Azil
56351,High Priestess Azil
56356,Grand Vizier Ertan
56357,Grand Vizier Ertan
55830,Grand Vizier Ertan
