29177,A'dal's Command,Ring
28792,A'dal's Signet of Defense,Ring
46016,Abaddon,Weapon
95060,Abandoned Spaulders of Arrowflight,Shoulders
95064,Abandoned Spaulders of Renewal,Shoulders
95211,Abandoned Zandalari Arrowlinks,Belt
95215,Abandoned Zandalari Bucklebreaker,Belt
95207,Abandoned Zandalari Firecord,Belt
95214,Abandoned Zandalari Goreplate,Belt
95213,Abandoned Zandalari Greatbelt,Belt
95210,Abandoned Zandalari Moonstrap,Belt
95208,Abandoned Zandalari Shadowgirdle,Belt
95209,Abandoned Zandalari Silentbelt,Belt
95212,Abandoned Zandalari Waterchain,Belt
53115,Abduction's Cover,Cloak
94818,Aberrant Chestguard of Torment,Chest
59343,Aberration's Leggings,Pants
40332,Abetment Bracers,Bracers
39759,Ablative Chitin Girdle,Belt
51003,Abomination Knuckles,Weapon
39267,Abomination Shoulderblades,Shoulders
50790,Abomination's Bloody Ring,Ring
50966,Abracadaver,Weapon
47213,Abyssal Rune,Trinket
39296,Accursed Bow of the Elite,Weapon
49792,Accursed Crawling Cape,Cloak
40192,Accursed Spine,OffHand
95165,Achillobator Ring,Ring
33585,Achromic Trousers of the Naaru,Pants
20619,Acid Inscribed Greaves,Boots
20637,Acid Inscribed Pauldrons,Shoulders
94937,Acid-Spine Bonemace,Weapon
47608,Acidmaw Boots,Boots
47853,Acidmaw Treads,Boots
46340,Adamant Handguards,Gloves
29349,Adamantine Chain of the Unbroken,Neck
70934,Adamantine Signet of the Avengers,Ring
93886,Adorned Beastmaster's Mantle,Shoulders
34925,Adorned Supernal Legwraps,Pants
28762,Adornment of Stolen Souls,Neck
37853,Advanced Tooled-Leather Bands,Bracers
46213,Aegis Battleplate,Chest
46214,Aegis Breastplate,Chest
46215,Aegis Faceguard,Helm
46216,Aegis Gauntlets,Gloves
46217,Aegis Gloves,Gloves
46218,Aegis Greaves,Pants
46219,Aegis Handguards,Gloves
46220,Aegis Headpiece,Helm
46221,Aegis Helm,Helm
46222,Aegis Legguards,Pants
46224,Aegis Legplates,Pants
34231,Aegis of Angelic Fortune,OffHand
39233,Aegis of Damnation,OffHand
19345,Aegis of Preservation,Trinket
19862,Aegis of the Blood God,OffHand
